ReactionCoordinate,Temperature,WorkerID,MaxDev,MaxJump,MinEnergy,Valid,aveF,avePsi,dXTangent,postT,preT,stdF
0,0,0,2.29555e-10,2.29555e-10,-2828.38,1,2.12124e-09,1,2.47737e-14,1.07032e-09,8.96198e-10,7.6153e-21
0.166667,0,0,0.00481856,0.00481856,-2828.3,1,0.797289,1.02517,7.58603e-15,-0.00397317,-0.00342206,1.20585e-06
0.333333,0,0,0.00435351,0.00435351,-2828.16,1,0.667951,1.0086,6.27735e-15,-0.00207821,-0.00174142,9.09205e-09
0.5,0,0,2.77889e-10,2.77889e-10,-2828.11,1,9.72055e-12,1,4.62052e-15,-1.07544e-10,-2.61178e-10,3.99036e-29
0.666667,0,0,0.00435351,0.00435351,-2828.16,1,-0.667951,1.0086,1.23873e-14,-0.00207821,-0.00174142,9.09205e-09
0.833333,0,0,0.00481856,0.00481856,-2828.3,1,-0.797289,1.02517,2.26393e-15,-0.00397317,-0.00342206,1.20585e-06
1,0,0,2.2955e-10,2.2955e-10,-2828.38,1,-2.1212e-09,1,5.57799e-15,1.02423e-09,8.29624e-10,7.61153e-21
0,10,0,0.0412101,0.0412101,-2828.38,1,0.00187705,1,4.94446e-15,10.4565,10.1146,0.000915493
0.166667,10,0,0.0413607,0.0413607,-2828.3,1,0.795855,1.02596,7.6891e-15,10.45,10.1114,0.000202266
0.333333,10,0,0.0417369,0.0417369,-2828.16,1,0.669553,1.02012,1.73737e-15,10.4499,10.1025,6.10191e-05
0.5,10,0,0.0418615,0.0418615,-2828.11,1,-0.00100719,0.994042,4.42979e-15,10.4527,10.0986,4.59279e-05
0.666667,10,0,0.0421264,0.0421264,-2828.16,1,-0.66549,1.00145,6.51845e-15,10.4501,10.0933,4.11914e-05
0.833333,10,0,0.04212,0.04212,-2828.3,1,-0.791929,1.00208,1.5378e-15,10.4446,10.0873,0.000323589
1,10,0,0.0424811,0.0424811,-2828.38,1,-0.00931656,1,2.90594e-15,10.4442,10.0834,0.000731429
0,20,0,0.0587399,0.0587399,-2828.38,1,0.00125156,1,7.17402e-15,20.9134,20.2269,0.00193339
0.166667,20,0,0.0589482,0.0589482,-2828.3,1,0.796705,1.02744,5.95457e-15,20.9034,20.2213,0.000518893
0.333333,20,0,0.0594168,0.0594168,-2828.16,1,0.670346,1.02474,2.09791e-14,20.9,20.2028,0.000244602
0.5,20,0,0.059667,0.059667,-2828.11,1,-0.0010738,0.990737,9.19843e-15,20.9043,20.1933,0.000155051
0.666667,20,0,0.0601257,0.0601257,-2828.16,1,-0.663245,0.998258,4.16892e-15,20.8997,20.1834,0.000156431
0.833333,20,0,0.0599215,0.0599215,-2828.3,1,-0.786496,0.992373,1.11686e-14,20.8911,20.1732,0.000707936
1,20,0,0.0605041,0.0605041,-2828.38,1,-0.0129414,1,2.94596e-15,20.8869,20.1637,0.00143945
